SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S06,diff,foil,Between,1,0.1428571429,0.2857142857
S06,same,foil,Between,1,0.375,0.125
S06,diff,test,Between,1,0.1666666667,0
S06,same,test,Between,1,0.1666666667,0.3333333333
S06,diff,foil,Between,2,0.2222222222,0.2222222222
S06,same,foil,Between,2,0.625,0.125
S06,diff,test,Between,2,0.1428571429,0.1428571429
S06,same,test,Between,2,0.2857142857,0.4285714286
S06,diff,foil,Between,3,0.25,0.25
S06,same,foil,Between,3,0.5,0.125
S06,diff,test,Between,3,0.125,0.125
S06,same,test,Between,3,0.2857142857,0.2857142857
S06,diff,foil,Between,4,0.25,0.25
S06,same,foil,Between,4,0.5,0.25
S06,diff,test,Between,4,0.1428571429,0.1428571429
S06,same,test,Between,4,0.1428571429,0.2857142857
S06,diff,foil,Between,5,0.125,0.25
S06,same,foil,Between,5,0.5,0.25
S06,diff,test,Between,5,0.125,0.125
S06,same,test,Between,5,0.1428571429,0.2857142857
S06,diff,foil,Between,6,0.25,0.125
S06,same,foil,Between,6,0.625,0.125
S06,diff,test,Between,6,0.125,0.125
S06,same,test,Between,6,0.3333333333,0.3333333333
S06,diff,foil,Between,7,0.25,0.125
S06,same,foil,Between,7,0.75,0
S06,diff,test,Between,7,0.125,0
S06,same,test,Between,7,0.5714285714,0.2857142857
S06,diff,foil,Between,8,0.5,0
S06,same,foil,Between,8,0.75,0
S06,diff,test,Between,8,0.125,0
S06,same,test,Between,8,0.5,0.3333333333
S06,diff,foil,Between,9,0.5,0
S06,same,foil,Between,9,0.7142857143,0
S06,diff,test,Between,9,0.125,0
S06,same,test,Between,9,0.4,0.2
S06,diff,foil,Between,10,0.5,0
S06,same,foil,Between,10,0.625,0.125
S06,diff,test,Between,10,0.125,0.125
S06,same,test,Between,10,0.3333333333,0.3333333333
S06,diff,foil,Between,11,0.5714285714,0
S06,same,foil,Between,11,0.75,0.125
S06,diff,test,Between,11,0.25,0.125
S06,same,test,Between,11,0.5714285714,0.4285714286
S06,diff,foil,Between,12,0.5714285714,0
S06,same,foil,Between,12,0.875,0
S06,diff,test,Between,12,0.4,0
